Index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,-2.5823512,1.6426158,-22.42994,15.263043
1,0.65560484,-2.6863763,0.5670483,-22.862371,10.553245
2,0.7301311,-3.2238243,0.616518,-25.324411,11.1283865
3,0.761047,-3.8342867,0.057024464,-30.714075,12.0091915
4,0.6735665,-3.0762093,-0.5241543,-19.792274,0.1912171
5,0.7317585,-3.4796345,-0.6001558,-22.489565,0.43723
6,0.8509952,-2.38853,1.133013,-23.6047,12.654613
7,0.6753986,-2.762865,0.81244934,-23.282503,11.388396
8,0.6851335,-2.6979423,0.87115,-23.269354,11.545048
9,0.8324486,-3.536166,0.655854,-27.266397,11.857244
10,0.6742535,-2.4826329,1.6411228,-22.465551,15.026288
11,0.83150774,-3.6371171,0.07575121,-28.404078,9.046262
12,0.678693,-2.7407434,0.06507419,-18.47594,4.483289
13,0.77100295,-2.9219184,-0.13362752,-25.6603,6.732635
14,0.7109414,-3.2516472,-0.43827057,-21.816965,1.1784459
15,0.68208605,-2.7655072,-0.9434722,-20.600637,-6.320215
16,0.70449543,-2.6737933,1.3350112,-22.895983,14.157982
17,0.66480696,-2.884389,-1.0403508,-29.349222,-24.694578
18,0.6898997,-0.076657005,0.23746978,-0.43134084,7.4136777
19,0.8344395,-1.9830309,0.25411266,-22.689463,7.2258315
20,0.65539986,-2.5326483,-0.60609794,-17.569437,-1.4682415
21,0.7018898,-2.863946,-1.4335121,-29.135525,-23.024374
22,0.916334,-0.59353817,-0.6676466,-5.3590355,-5.712798
23,0.67941463,-2.588066,-1.6664771,-18.346935,-12.025375
24,0.6567671,-2.7282503,-1.5315269,-18.499344,-11.412439
25,0.77618307,-2.864208,-2.5965383,-10.259499,-22.919981
26,0.8648826,-3.3957083,0.5349111,-27.163464,8.712548
27,0.736356,-2.941879,-0.7345399,-29.727844,-25.200937
28,0.84153414,-3.3265524,0.53308636,-29.787588,13.394591
29,0.6546648,-3.3211186,0.26169977,-21.20663,4.4906697
30,0.70737416,-2.6334908,-2.6231184,-13.920624,-21.239986
31,0.7126492,-3.4281926,-0.6197801,-22.571096,0.7036926
32,0.7299003,-3.4231904,0.59396696,-27.505949,11.534078
33,0.91217464,-3.5146158,-0.40494126,-23.225195,1.566288
34,0.68181866,-3.164178,-1.0888972,-18.080257,-8.124183
35,0.6639527,-2.8082478,0.29651415,-17.787413,5.4568377
36,1.0597229,-4.3218093,-0.3498994,-25.28874,0.08816892
37,0.68314475,-2.7096405,-0.1838852,-22.568104,-8.104063
38,0.7154072,-2.5592277,0.8959397,-21.625626,13.919927
39,0.69530183,-2.4883451,1.436813,-21.631203,14.817985
40,0.6613885,-2.445803,-2.5385246,-13.591204,-18.518225
41,0.7726146,-2.7085314,-0.067121334,-19.148863,2.8571918
42,0.6884729,-3.2519364,-0.13837618,-20.044096,2.8498838
43,0.707251,-2.2872221,-0.23586692,-16.313292,2.193705
44,0.9472525,-3.7908459,0.07539374,-24.892145,-0.1548417
45,0.7236873,-2.9510674,0.5793127,-25.129808,8.013061
46,0.7919123,-0.74938786,3.8024468,-2.2524593,27.565891
47,0.7125077,-2.5614026,-0.3252624,-19.097948,1.1762997
48,0.67908347,-3.0434268,-1.1028781,-8.097813,-19.05746
49,0.81379974,-3.4225073,0.31031618,-27.792202,8.313805
50,1.14415,-2.286959,-0.25541174,-16.677694,2.6088252
51,0.70751417,-2.0491185,-1.2502911,-14.897295,-7.0132866
52,0.87530017,-3.084625,-1.0286698,-28.05737,-15.674549
53,0.78691846,-3.7499893,0.34348983,-27.688189,12.686324
54,0.77072936,-2.7029302,-0.40677032,-29.537477,5.743802
55,0.6608632,-1.0750505,1.6582067,-2.4809837,15.16454
56,0.8748907,-3.5232844,0.79414314,-27.961472,10.594011
57,0.66906583,-3.0064359,-1.427636,-29.748133,-23.726358
58,0.8726341,-3.5901406,0.74341995,-28.145056,10.427655
59,0.66346383,-2.798812,0.51373714,-24.607357,10.860184
60,0.70640284,-3.4537077,-1.3261186,-20.997269,-6.089952
61,0.8120579,-3.7116616,0.3161324,-24.457676,3.6105008
62,0.7109505,-2.7861571,1.8609798,-23.12582,15.591045
63,0.9349133,-3.11002,0.9915122,-25.24193,12.506801
64,1.1596075,-2.6421165,-0.22306031,-17.474035,2.324716
65,0.69463724,-3.3984606,0.3620675,-24.078217,10.013848
66,0.74453706,-2.701999,1.2102774,-28.280802,14.2233
67,0.6671339,-2.4876988,0.8232497,-14.927317,17.87642
68,0.6770131,-2.7354844,0.17477126,-26.164026,6.1560206
69,0.7824607,-3.1078749,-1.1356657,-19.342434,-9.578523
70,0.7662557,-2.7064078,-1.5083185,-27.926651,-19.999393
71,0.825554,-3.4036467,0.26210654,-27.417841,8.0701
72,0.8541577,-3.3494756,0.883804,-26.432592,12.671545
73,0.75307375,-3.3125207,0.93237054,-26.247385,13.125228
74,0.7927087,-3.318323,0.10209821,-21.160275,4.0217037
75,0.6950363,-3.3453996,-0.5158589,-20.799667,-0.17851318
76,0.81377435,-3.2435577,1.3108318,-26.076044,14.274517
77,0.67362386,-3.0670295,-0.77193975,-21.1468,-1.1462609
78,0.78292215,-1.9722065,0.42332602,-21.655949,7.5171447
79,0.7593829,-3.4875066,0.28870827,-28.3381,8.0833025
80,0.7891008,-2.9879968,-0.19647378,-17.938568,2.232398
81,0.66477334,-3.1420808,-1.0595678,-17.691456,-8.162091
82,0.7217702,-3.4547956,-1.0489966,-18.463192,-8.540312
83,0.7573886,-2.7404099,-0.315345,-29.293604,6.066809
84,0.9122613,-2.6712077,-0.43090704,-29.613703,5.626811
85,0.8964753,-3.1649888,1.0082124,-25.528624,12.110408
86,0.7566408,-3.0897942,1.0317669,-25.64993,12.513775
87,0.67784876,-2.7063715,1.477118,-22.655268,14.673704
88,0.9056362,-3.4689083,0.18588269,-26.769424,7.350499
89,0.99094194,-3.7326052,0.5096671,-28.818829,9.92519
90,0.6892792,-2.7147155,-1.3111546,-27.490091,-18.291758
91,0.72473073,-3.085303,-0.6318542,-28.659462,-16.118532
92,0.68215114,-2.333234,1.8222351,-22.048834,15.736086
93,0.86017126,-3.4431093,0.45363924,-26.577576,8.531208
94,0.6823869,-2.820363,-0.13799505,-24.410564,6.510162
95,0.8661452,-4.0417733,-0.19588031,-24.952484,-0.09427987
96,0.690725,-3.1045873,-1.1463108,-8.097464,-19.072641
97,0.74126637,-3.1260312,0.00875324,-27.969868,7.211909
98,0.6723381,-2.7982585,-1.6767491,-28.52065,-20.812904
99,0.67556304,-2.89735,0.47387987,-23.71124,8.241998
100,0.7209877,-3.020192,-1.192719,-18.883791,-9.751009
101,0.73489034,-3.4810822,-0.47624925,-21.717049,-0.19630873
102,0.7211007,-3.1693704,0.80919325,-25.929176,11.041901
103,0.8069836,-3.3810623,1.2075785,-26.915102,13.312206
104,0.749623,-2.8486445,-2.5319045,-10.249938,-22.952192
105,0.66933084,-2.824125,-1.2657193,-13.439817,-23.8044
106,0.72774225,-3.2705307,0.86498284,-26.86381,14.125859
107,0.68472296,0.26641327,1.1608685,1.456089,12.852742
108,0.66548663,-2.6957326,-1.5806108,-9.548727,-19.55494
109,0.65799,-3.6116042,-0.20748487,-31.041967,11.842156
110,0.9251059,-2.7426555,-0.5093593,-17.337744,-0.027027678
111,0.66243535,-1.853097,-0.38771382,-27.32913,4.7664375
112,0.49352545,-0.19351712,3.9329915,0.34317836,29.057003
113,0.5037803,-1.2483261,3.324314,-5.291503,23.052969
114,0.53528845,-2.1929302,2.097993,-24.313976,16.573809
115,0.5045395,-0.872309,0.65167135,-4.7939343,7.4064107
116,0.5514143,-1.3983753,3.052569,-1.1838781,24.38519
117,0.516274,-1.8643999,-1.3981117,-24.06873,-21.982004
118,0.519121,-2.18313,-1.456288,-25.15181,-22.355646
119,0.52823305,-0.09409382,2.8833828,2.4297237,21.298082
120,0.5484625,-1.8731883,-0.18913636,-15.58491,2.5223362
121,0.5149307,-1.4503908,-0.4439022,-10.310341,-6.8279533
122,0.5249436,0.8806812,2.1244214,7.7573504,17.300268
123,0.5231539,-2.124284,-1.5339829,-24.741192,-22.572258
124,0.53990024,-1.5916128,-1.6906499,-20.50735,-20.925556
125,0.5313788,-2.4478285,-1.1303349,-15.953403,-4.48451
126,0.5036333,-2.0988681,-1.5007193,-9.012544,-17.030418
127,0.51201004,-1.9974118,-1.7665509,-21.562368,-22.759478
128,0.53736496,-1.0613158,4.152328,-2.436132,29.85094
129,0.51039934,1.3462323,-0.7883287,9.443338,-9.47413
130,0.5138023,0.0443532,-0.7956567,-2.9676142,-3.9146688
131,0.49094117,-1.2588782,-0.60612684,-12.086379,0.107531905
132,0.523794,-1.6537384,-0.49537835,-12.603978,0.24231575
133,0.5093096,-1.1535584,-1.0425513,-12.258909,-3.8838704
134,0.5507614,-1.5517681,-1.089695,-13.133875,-3.9127302
135,0.5432291,0.4775429,0.5944467,1.5002023,10.02061
136,0.49199113,-0.989747,-1.2972078,-17.666054,-16.457428
137,0.54160905,-1.4920354,-0.81596005,-10.962143,-4.07226
138,0.5086439,-0.7747266,-0.9391949,-20.357105,-17.714018
139,0.51396465,-0.13175161,-1.1994617,-3.0292058,-4.60703
140,0.5408755,-1.5546821,-0.80450815,-10.835179,-4.3289275
141,0.51827675,-0.8736356,-0.07281271,-20.68799,-16.82978
142,0.5053847,-1.1568497,-0.7306327,-8.9886465,-5.010633
143,0.50039786,-2.4276133,-0.95904887,-16.787357,-2.875748
144,0.49670103,-1.878066,-1.2482396,-14.378017,-5.8256626
145,0.49609175,-1.7236551,-1.7548559,-17.035294,-21.506739
146,0.5475454,-2.5338657,-1.4137275,-27.098297,-24.739397
147,0.53596157,-2.4414914,-2.2407203,-17.06312,-23.846899
148,0.53272986,0.41639382,3.0869954,8.153187,22.182323
149,0.54490715,-2.9268107,0.21823095,-19.694265,4.5010858
150,0.52028775,-0.80690014,4.309206,-2.805948,28.259058
151,0.51274663,-0.62195647,4.2482557,-0.38728556,30.26672
152,0.5543858,-1.8194684,1.0544713,-21.36084,12.129095
153,0.5422951,-2.398713,-0.9315704,-17.011911,-2.5276766
154,0.5057045,-1.0623474,3.8618355,-2.792593,25.372095
155,0.53278875,-2.8359385,-0.2805646,-29.337723,6.304598
156,0.5045006,-1.5117972,-1.8663737,-11.159774,-14.9472
157,0.50830424,-1.0694411,-1.6817725,-11.887841,-13.864453
158,0.5323962,-1.4602498,0.36933565,-14.238991,6.1853905
159,0.5056658,-1.2044188,-1.0145026,-5.6765833,-13.255022
160,0.5419976,-2.5565534,-1.8353366,-26.713482,-23.774197
161,0.5210947,-2.4249108,-1.8271852,-25.652826,-24.02765
162,0.53818953,-1.4278113,-1.5000255,-17.530096,-17.794798
163,0.5394998,-2.7929816,-1.8200037,-28.176281,-21.319153
