Index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,2.1905649,2.1929524,19.48017,-2.2808852
1,0.65560484,2.4519458,0.23948863,32.0751,-13.983219
2,0.7301311,3.224397,-0.019154737,33.074078,-12.315276
3,0.761047,2.27934,0.12278452,24.679754,-12.594352
4,0.6735665,2.5880132,-0.592909,36.123684,-21.78197
5,0.7317585,2.6250265,-0.45486066,34.767204,-23.37354
6,0.8509952,3.3096569,0.92067385,30.270414,-9.264837
7,0.6753986,2.442574,0.32169417,36.602303,-12.814225
8,0.6851335,2.4428656,0.738044,36.591686,-12.786931
9,0.8324486,3.2590454,0.32147154,33.70192,-9.979399
10,0.6742535,2.310015,1.5086949,21.2098,-4.374418
11,0.83150774,2.943572,1.4339722,29.096693,-5.118752
12,0.678693,2.291823,1.6251915,19.817396,-3.3019447
13,0.77100295,2.2749226,0.18508235,25.176783,-12.539442
14,0.7109414,2.7061894,0.24980998,30.903337,-12.319136
15,0.68208605,2.389716,1.0606636,28.75762,-11.531642
16,0.70449543,2.5572007,1.5953684,21.659422,-4.2513685
17,0.66480696,2.5499928,-0.9769216,33.11267,-26.735449
18,0.6898997,1.3252754,0.29968098,9.953588,10.721713
19,0.8344395,2.8537326,-0.4123997,40.66765,-17.01899
20,0.65539986,1.5967814,-1.3911387,23.768232,-30.173628
21,0.7018898,2.7021453,-0.68582916,33.611015,-26.221617
22,0.916334,2.6573606,-0.74439746,34.234776,-7.5258822
23,0.67941463,2.5269518,-0.22458278,30.235195,-15.192389
24,0.6567671,2.3654091,-0.6381891,31.740774,-23.844543
25,0.77618307,1.9530326,-0.54136455,24.24718,-14.141118
26,0.8648826,3.0401156,-0.5663705,40.993168,-18.247908
27,0.736356,2.4540992,-0.9780648,26.40055,-29.00127
28,0.84153414,2.9068673,1.6525161,29.274567,-3.9455342
29,0.6546648,2.324505,-0.68257505,13.438717,13.315686
30,0.70737416,2.621435,-0.06307211,30.832445,-15.230459
31,0.7126492,2.6140468,-0.673796,34.330074,-23.405216
32,0.7299003,2.9822836,0.11280508,33.87624,-11.575721
33,0.91217464,3.2538147,-0.20266335,32.66141,-7.9337296
34,0.68181866,2.2254696,-0.29913047,32.445305,-17.407106
35,0.6639527,2.3477564,-0.73651916,34.691833,-21.45972
36,1.0597229,3.3228142,-0.18794356,32.89055,-4.4021997
37,0.68314475,2.439571,1.8236315,24.173166,-7.3765073
38,0.7154072,2.2885268,2.3024876,26.331575,-3.0355892
39,0.69530183,2.1800263,2.13297,25.52361,-2.9329412
40,0.6613885,1.7081985,-0.489653,27.544754,-18.02496
41,0.7726146,2.7696104,1.4909143,28.804367,-5.9803233
42,0.6884729,2.4212606,1.7511919,20.374756,-4.624001
43,0.707251,2.1122932,-0.7662532,38.950935,-17.753386
44,0.9472525,2.8439174,0.11981094,32.410484,-3.8889773
45,0.7236873,2.836475,1.5063435,22.828333,-5.7903614
46,0.7919123,1.7349803,-0.11323363,27.711311,-16.828798
47,0.7125077,2.6611967,-0.5731015,35.95575,-21.783531
48,0.67908347,1.5545393,-0.5085171,26.159668,-15.936071
49,0.81379974,2.7884746,-0.1257527,41.084354,-15.886979
50,1.14415,3.1502647,-0.43835837,42.260555,-16.717934
51,0.70751417,2.260399,-0.21212038,28.19577,-15.420214
52,0.87530017,3.1421468,-0.03529159,31.763006,-5.5902023
53,0.78691846,3.2273622,-0.12637241,34.52832,-10.476854
54,0.77072936,2.6477556,0.05273743,41.492943,-15.440235
55,0.6608632,-0.2604168,-0.36274454,9.398389,-23.357822
56,0.8748907,3.0282195,1.5666739,28.779387,-4.5770607
57,0.66906583,2.476869,-0.75897706,32.506523,-27.714191
58,0.8726341,3.1553285,1.6447711,28.61356,-4.732137
59,0.66346383,2.23456,-0.10195045,31.71464,-16.573711
60,0.70640284,2.9549918,0.33126065,36.462147,-12.080437
61,0.8120579,2.6001852,1.460286,29.828388,-5.348525
62,0.7109505,2.9749708,0.16487458,35.09429,-12.365605
63,0.9349133,2.5079975,1.6135502,27.711302,-4.3965
64,1.1596075,3.1030283,-0.46309665,42.362522,-16.865808
65,0.69463724,2.8556397,0.25731716,31.912724,-12.687033
66,0.74453706,2.787543,1.333386,27.029512,-5.9306283
67,0.6671339,2.1275668,1.5053978,25.123951,-7.5807786
68,0.6770131,2.3732457,-0.08751128,29.462,-14.9873
69,0.7824607,2.4561625,-0.51586294,36.125492,-17.56478
70,0.7662557,2.664076,-0.8671232,28.15072,-27.97948
71,0.825554,2.8199003,-0.22109269,40.74083,-15.943577
72,0.8541577,3.5452228,0.8832535,30.320387,-8.819405
73,0.75307375,3.1769037,1.1802646,29.936987,-9.067943
74,0.7927087,2.6193187,-0.5871549,40.041122,-18.611866
75,0.6950363,2.7761588,-0.74772096,37.01396,-21.998594
76,0.81377435,3.0108662,-0.6339543,40.10346,-20.07499
77,0.67362386,2.610872,-0.5418158,33.339764,-24.15934
78,0.78292215,2.6032093,-0.668004,39.521286,-17.531668
79,0.7593829,3.2567072,0.4206054,31.127558,-10.5450535
80,0.7891008,2.5002654,-0.06459662,39.883087,-16.090046
81,0.66477334,2.2804527,-0.3940047,30.858751,-18.463226
82,0.7217702,2.5034082,-0.34490037,32.542423,-16.006512
83,0.7573886,2.1422806,0.17615081,41.911835,-14.669316
84,0.9122613,2.5862749,-0.17998013,41.73217,-15.728966
85,0.8964753,3.0099306,0.047671616,35.236397,-15.288447
86,0.7566408,2.5668156,1.4408934,27.555191,-4.5872707
87,0.67784876,2.1879463,2.342899,19.271898,-1.7848071
88,0.9056362,3.2476883,0.3769106,31.544785,-6.294937
89,0.99094194,3.3288221,0.34626904,32.478733,-5.873005
90,0.6892792,2.5201938,-0.75484765,35.29075,-18.995354
91,0.72473073,2.6663206,-0.04529738,28.304697,-14.006749
92,0.68215114,2.155856,2.2012968,19.328081,-2.0861547
93,0.86017126,2.8790603,-0.59698087,40.903534,-17.98563
94,0.6823869,2.2859294,-0.71046406,34.269367,-17.347727
95,0.8661452,2.781775,0.057727464,32.417572,-3.8746657
96,0.690725,2.1576216,-0.6353379,26.760363,-15.763096
97,0.74126637,1.24462,0.2299389,42.6037,-13.375937
98,0.6723381,1.837301,-0.8759398,26.285456,-27.097496
99,0.67556304,2.451442,0.48115775,29.07273,-12.69996
100,0.7209877,2.552997,-0.35356617,33.367577,-16.18308
101,0.73489034,3.1735656,-0.329322,33.544994,-12.778777
102,0.7211007,0.80056345,1.9197888,7.6484566,-5.8918552
103,0.8069836,3.3685243,-0.1004397,34.610825,-11.437022
104,0.749623,2.3183758,-1.0582944,24.609692,-14.7823305
105,0.66933084,1.9166545,-0.73271686,26.328182,-15.781105
106,0.72774225,2.8717256,-0.49453154,34.75398,-25.405306
107,0.68472296,0.12684563,-0.5382294,11.220778,18.574112
108,0.66548663,1.9840709,-1.2298082,24.694288,-15.099487
109,0.65799,1.6874764,0.35297725,23.807922,-12.17941
110,0.9251059,2.9335208,-0.5787282,41.930363,-17.419855
111,0.66243535,2.0442467,-0.3599603,38.031895,-17.308556
112,0.49352545,0.46456602,0.52432495,9.15596,-16.035492
113,0.5037803,0.8534987,2.4879975,10.803673,-1.1257448
114,0.53528845,1.1270126,1.4988654,8.716013,-11.374525
115,0.5045395,0.4641608,-0.13680531,13.055526,-20.485981
116,0.5514143,1.060923,0.66981393,7.868164,9.27451
117,0.516274,0.87008846,-0.23675475,16.164925,-20.204205
118,0.519121,1.0254358,-0.09927221,16.029509,-20.824896
119,0.52823305,-0.19334395,2.2687423,6.981344,-2.471562
120,0.5484625,1.8208004,-0.6716342,14.188403,14.163732
121,0.5149307,0.49836037,-0.46180493,14.869496,-21.901712
122,0.5249436,-0.50125223,-0.85796136,-3.040968,21.31617
123,0.5231539,0.99337876,-0.32169414,16.52467,-19.58029
124,0.53990024,0.8657634,0.20209587,15.044135,-17.268929
