material_id,es_source_calc_id,formula_pretty,predicted_zT,tSNE_1,tSNE_2,cluster,cluster_sorted,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,cbm,vbm,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson,e_total,e_ionic,e_electronic,n
mp-866660,mp-867041,K3P2AuSe8,0.46517628,0.07909468,6.0511312,2,5,28,4,867.3032672999190,3.859409068947690,30.97511668928280,-3.804556618214290,-4.074270903928570,-0.8314869271011910,0.0,-0.008393009553572,0.9632000000000000,2.1386,1.1754,1.1066412,0.0002045,2.35788342682771E-07,0.00010225,0,0,,,,,,,,,,,,
mp-542625,mp-908136,Sr3GaSb3,0.34613183,-0.94427544,0.7875174,2,5,56,3,1917.2882886199400,4.835282337092020,34.23729086821330,-3.79483245,-3.877118164285710,-0.9508924353571430,0.0,-0.0450768840041204,0.3394000000000000,3.895,3.5556,3.57389363,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-28267,mp-918015,Na7Al2Sb5,0.5784067,36.193382,-17.459375,1,9,28,3,756.142234020511,3.617763405355440,27.00507978644680,-3.050517225357140,-3.1190886539285700,-0.4481004457758620,0.0,-0.0294720235267855,0.29,3.8684,3.5784,3.62715975,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-8405,mp-921999,Li3LaSb2,0.44388548,5.783547,-4.160172,9,6,6,3,139.22691421574400,4.809485592304800,23.204485702624000,-4.033366016666670,-4.097366016666670,-0.9439029858333330,0.0,-0.0362448250000015,0.3781000000000000,5.5126,5.1345,5.18176045,0.0,0.0,0.0,0,0,,,,,,,,,31.22316848999820,15.013724519998200,16.20944397,4.026095375174310
mp-8439,mp-922066,Ca5(AlSb3)2,0.21726756,-7.8916035,-4.405247,8,4,26,3,766.4278593453570,4.267816264645630,29.477994590206000,-4.024047387307690,-4.112662771923080,-0.8593428873076930,0.0,-0.019621198426563,0.1684000000000000,4.9717,4.8033,5.01380416,0.0,0.0,0.0,0,0,39.41373094887180,38.99142761771860,39.202579283295200,23.399586358219600,22.8592936933775,23.129440025798500,0.1290085711764560,0.2534826222723900,22.983562500000000,7.701515830000000,15.28204667,3.909225840239980
mp-28296,mp-922275,Ba3GaSb3,0.53433615,1.8009958,3.2546763,2,5,56,3,2220.676581404220,5.066744189811860,39.6549389536467,-3.929214386428570,-4.011500100714290,-0.986925163214286,0.0,-0.0394750253571434,0.2438000000000000,3.3723,3.1285,3.06760942,0.1105402,4.97777123087872E-05,0.013817525,0,0,,,,,,,,,,,,
mp-2496,mp-922363,Cs4Sn23,0.49819678,23.930363,-1.1541755,5,8,54,2,1994.9994317504800,5.430175391211590,36.9444339213052,-3.7147001966666700,-3.7147001966666700,-0.1664867835823760,0.0,-0.0753372311111113,0.1137999999999990,4.8953,4.7815,4.92859056,3.26E-05,1.6340856784804E-08,1.63E-05,0,0,,,,,,,,,,,,
mp-568329,mp-922570,K3Na2SnBi3,0.53123885,22.992783,-1.1978369,5,8,36,4,1369.868862356050,4.40715625543124,38.051912843223500,-2.771850820277780,-2.771850820277780,-0.3821523010670500,0.0,-0.0100250473888889,0.137,2.2835,2.1465,2.03724421,3.12E-05,2.27759027578296E-08,7.8E-06,0,0,,,,,,,,,,,,
mp-571544,mp-923961,KTiPSe5,0.29971683,-14.372595,-3.8957808,6,2,16,4,480.1276980976600,3.546653304095180,30.00798113110370,-4.747976540625,-5.042976540625,-1.0556326832981800,0.0,-0.018016084479167,0.601,1.9013,1.3003,1.18760582,0.0003581,7.45843244242829E-07,0.00017905,0,0,,,,,,,,,13.31645467,6.683365073333330,6.633089596666670,2.575478517997510
mp-617281,mp-924264,In4Te3,0.4510071,2.4412026,2.5046616,2,5,28,2,928.9629253869980,6.020879476142620,33.17724733524990,-3.1867794032142900,-3.3676365460714300,-0.4481147460714290,0.0,-0.019673103214286,0.2642000000000000,5.4361,5.1719,5.21589803,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-18633,mp-926196,K8SnSb4,0.5917102,34.52018,-16.046629,1,9,26,3,1095.035576444770,2.785782688898880,42.11675294018350,-2.701729463076920,-2.760806386153850,-0.4985934330000000,0.0,-0.0404103318131872,0.8126000000000000,2.0839,1.2713,1.3051351,0.0,0.0,0.0,0,0,,,,,,,,,10.394687423333300,3.296596183333320,7.09809123999998,2.6642243223872800
mp-29938,mp-926760,Ba(GaSb)2,0.40205964,-0.2695259,7.82319,2,5,40,3,1193.6926876094300,5.790212918594690,29.842317190235700,-3.774757269,-3.851557269,-0.604923376,0.0,-0.0301638029999988,0.2615000000000000,4.2783,4.0168,4.13122859,0.0,0.0,0.0,0,0,,,,,,,,,,,,
