Point Index,Nearest Distance,Nearest Point Index,Target Difference
0,0.04208336417505183,92,0.022581359999999995
1,1.031084809953091,2,-0.07452626000000007
2,0.09828259438985143,899,0.015271400000000046
3,0.47860336086157923,109,0.10305700000000007
4,0.13612273968004066,47,-0.03894120000000001
5,0.11271419690970683,31,0.019109299999999996
6,0.15359874538875593,72,-0.003162500000000068
7,0.19277923211798467,965,0.1419264
8,0.875097362874492,450,0.11898369999999991
9,0.9000902033735286,910,0.09592944000000003
10,0.32772260313527346,16,-0.030241930000000083
11,0.8350489822022475,531,0.22353484
12,0.4098763951056587,923,0.08703349999999999
13,0.07996881998629195,452,0.15991175000000002
14,1.4947559449224477,79,-0.048441500000000026
15,1.4657637420334837,451,0.06763834999999996
16,0.32772260313527346,10,0.030241930000000083
17,0.08186520403687934,933,0.04539465999999992
18,1.754866544469653,787,0.44183389
19,0.776864101682791,78,0.05151735000000002
20,1.8959140364953253,461,0.00737779999999999
21,1.9784539822338563,455,0.0871383
22,0.4157499105502003,465,0.31324675
23,1.0672511114568883,912,0.09519003000000004
24,0.9920306387059081,770,0.19255550000000005
25,0.1948818648515032,934,0.18602829999999992
26,0.43970597264450484,93,0.004711339999999953
27,1.2279233318900675,507,0.1160177
28,1.021064983626901,9,0.009085540000000059
29,0.6790337833774182,74,-0.1380439
30,0.4116012399203864,927,0.13387042999999998
31,0.11271419690970683,5,-0.019109299999999996
32,0.2245959302770209,966,0.23040547999999994
33,0.2957727940311627,31,0.19952544000000005
34,0.7333823860788038,685,0.23504726000000004
35,1.035668265205017,149,0.11904554999999994
36,0.8010151082126971,95,0.19357769999999996
37,1.1843063698861875,91,-0.04158598000000002
38,0.7424397215626055,39,0.02010537000000001
39,0.6736103192182332,510,0.09903682999999996
40,1.567070008997839,486,0.020035970000000014
41,0.29237476740034596,42,0.08414169999999999
42,0.29237476740034596,41,-0.08414169999999999
43,0.5561044906310324,78,-0.07567115000000002
44,0.1528126348866505,95,0.0811073000000001
45,0.633219262925481,901,-0.052991200000000016
46,0.765211690253097,993,0.3908201
47,0.13612273968004066,4,0.03894120000000001
48,0.01993748153604125,96,-0.011641530000000011
49,0.40073070664111793,71,-0.011754260000000016
50,0.32286203522179485,64,-0.015457499999999902
51,0.5598603985539633,753,0.23949102000000005
52,0.5292701872597759,906,0.06504507000000004
53,1.3093754443306167,60,0.08051562000000001
54,0.547745815088175,83,0.013340760000000063
55,1.5735168438559053,158,0.128467
56,0.26628569452582784,58,0.002256600000000053
57,1.02045212185972,499,0.04316573000000001
58,0.26628569452582784,56,-0.002256600000000053
59,1.7691409484902556,744,0.23317077999999997
60,1.3093754443306167,53,-0.08051562000000001
61,0.3397431398689824,89,-0.17888404000000002
62,0.4869969985995814,903,0.02360530000000005
63,0.33745813493954885,86,0.17827249999999994
64,0.32286203522179485,50,0.015457499999999902
65,0.12711059721754225,454,0.07389914000000009
66,0.6643591787717333,523,0.14208383000000002
67,1.9902048151597354,44,-0.2801186000000001
68,0.552742242617388,487,0.03903030000000007
69,0.855601359104906,516,0.13925743999999995
70,0.31965961949079386,473,0.11314435999999994
71,0.40073070664111793,49,0.011754260000000016
72,0.15359874538875593,6,0.003162500000000068
73,0.6067472856447315,72,-0.10108395000000003
74,0.6790337833774182,29,0.1380439
75,1.480999656317508,922,0.10168756000000001
76,0.9223093385499249,392,0.62698695
77,0.0876290966289167,101,-0.06126648000000001
78,0.5046133642045567,110,-0.14218375000000005
79,1.4947559449224477,14,0.048441500000000026
80,0.7623408730438707,64,-0.37050669999999986
81,0.754191006770727,82,-0.05699686000000004
82,0.754191006770727,81,0.05699686000000004
83,0.1798261390894266,84,-0.15487270000000009
84,0.1798261390894266,83,0.15487270000000009
85,0.22628280054304034,102,0.17537459999999994
86,0.33745813493954885,63,-0.17827249999999994
87,0.2395195537424873,0,-0.026883739999999934
88,4.882953228914039,187,0.40743942
89,0.3397431398689824,61,0.17888404000000002
90,0.1843869648392744,464,0.06591210000000003
91,1.1843063698861875,37,0.04158598000000002
92,0.04208336417505183,0,-0.022581359999999995
93,0.3121748097463334,894,0.10319900999999998
94,0.14727457905558547,892,-0.1853492
95,0.1528126348866505,44,-0.0811073000000001
96,0.01993748153604125,48,0.011641530000000011
97,1.323807903876102,893,-0.0691191000000001
98,0.5204661560034418,163,0.13283830000000008
99,0.18639086257110352,533,0.024543839999999983
100,1.0662478664241681,1031,0.24564668
101,0.0876290966289167,77,0.06126648000000001
102,0.22628280054304034,85,-0.17537459999999994
103,2.003838918811839,77,0.13335974000000006
104,0.3694698241237018,934,0.15946823
105,0.6094120732453953,557,0.03679144000000001
106,0.6168214348618258,3,-0.033304749999999994
107,0.525675765671283,181,0.16131711000000004
108,1.209131067362427,927,0.09198289999999998
109,0.47860336086157923,3,-0.10305700000000007
110,0.5046133642045567,78,0.14218375000000005
111,0.12802860306978217,484,0.05440860999999997
112,0.4180761634212086,1054,0.020840589999999992
113,1.4794156032920571,119,-0.024452750000000023
114,0.15708034940551863,447,-0.11067395000000002
115,1.267728834861779,930,-0.08665405999999998
116,0.31321554641013816,226,0.17297955000000004
117,0.5462720686617646,678,0.04714894000000003
118,0.8200571006076333,455,-0.09563049999999995
119,0.06649765819184997,767,0.06901750000000001
120,0.8236172326135792,512,-0.06075970000000008
121,0.47419643383422005,713,0.08493229999999996
122,0.18669997489933424,540,-0.05611470000000007
123,0.5205255068716604,459,-0.035819500000000004
124,0.5333270814650233,175,0.005622240000000001
125,0.48371997391222055,957,0.03852020000000006
126,0.7565323760448059,1033,0.02272147999999996
127,0.3160883772950236,238,0.09944594000000007
128,1.3855445622934672,988,0.19656304000000002
129,0.35919552262693827,239,0.09004136999999995
130,0.540858697691919,214,0.007970940000000093
131,0.49379553279069893,132,-0.03285283
132,0.49379553279069893,131,0.03285283
133,0.1825056464509753,134,-0.04145179999999993
134,0.1825056464509753,133,0.04145179999999993
135,0.3035630085451805,736,0.09067282000000004
136,0.7390843888230908,810,0.24105978
137,1.9436239027417317,162,0.0034195200000000092
138,1.0303818739637258,699,0.05811736000000006
139,0.2891126300558484,467,-0.11056829000000001
140,2.308132911835234,559,0.2657516
141,1.4100867844627998,82,-0.20349345000000008
142,0.42751289439501156,685,0.058613300000000035
143,0.13642256279311263,153,-0.04189724000000006
144,0.3489592352184557,548,-0.06090026999999998
145,0.6009646017903217,324,0.08603908999999998
146,0.6115901458861133,117,0.03127139999999995
147,0.9427206880264172,951,0.016260269999999966
148,0.6549963035269754,292,0.12567625999999998
149,1.035668265205017,35,-0.11904554999999994
150,0.5263882006703791,676,0.04802790000000007
151,1.5731735332543582,1040,0.034781689999999976
152,0.7796434026760648,526,-0.09429089999999996
153,0.13642256279311263,143,0.04189724000000006
154,0.5995316532711181,179,-0.030710400000000027
155,0.6655812777708002,84,-0.37947255
156,0.5981902378240562,549,-0.11783626000000003
157,0.7451713440873858,156,0.003803639999999997
158,1.2866605170261347,149,-0.01251095000000002
159,0.8312207352937314,536,-0.05528173999999997
160,0.5040016701671248,493,-0.03216859999999999
161,0.3697325878783876,173,-0.010760199999999998
162,1.9436239027417317,137,-0.0034195200000000092
163,0.5204661560034418,98,-0.13283830000000008
164,0.4310668439349041,451,-0.10562174000000002
165,0.8103793226940096,481,-0.081812
166,0.6689570931988092,179,0.00939926000000002
167,0.6301580018138303,190,-0.03716669
168,0.6490264280874852,51,-0.21593350000000006
169,0.6209453933725626,972,-0.005783659999999968
170,0.5000211426269906,503,-0.051590499999999984
171,0.20041582684259263,734,0.05135831000000002
172,1.4712309029873591,615,0.21739853999999997
173,0.3697325878783876,161,0.010760199999999998
174,0.9871498344800541,494,-0.10559255000000001
175,0.5333270814650233,124,-0.005622240000000001
176,0.9850902973027406,470,-0.01135659
177,0.9062152042451073,507,-0.1267356
178,0.35113464771366715,973,-0.03804839999999998
179,0.5995316532711181,154,0.030710400000000027
180,1.557242615912306,764,0.06101990000000007
181,0.4555294714986509,223,0.15548932999999993
182,0.6867256498813771,497,-0.019691930000000024
183,0.38606850615880256,510,-0.0668957
184,0.7475136835082838,392,0.3513002
185,0.4264729486966317,178,0.015659160000000005
186,0.47822989332014865,555,-0.10499739000000002
187,0.4183913866821411,720,0.018240580000000006
188,0.8920179495245609,535,-0.14172313000000003
189,0.6260799578903955,524,-0.022272999999999987
190,0.573092257065997,740,0.08665401
191,0.3206118578109681,295,0.11786878
192,0.586462411781727,319,0.10497697
193,1.2233351587620773,540,-0.07458774000000001
194,0.7604796928919273,688,0.04494423000000003
195,1.3254519533108284,207,0.007658869999999984
196,1.2820330739103443,469,-0.07935959999999997
197,0.6150263672802985,527,-0.11021352000000006
198,0.27780439611532376,529,-0.06496134999999992
199,0.8729022865563184,774,0.08191946000000006
200,1.0381922975172582,199,-0.0008097400000000032
201,0.3377921272299889,332,0.06874531
202,0.19136491464552696,203,0.05204675000000003
203,0.19136491464552696,202,-0.05204675000000003
204,0.5760145403251588,482,-0.06475956999999999
205,1.1166286815454816,204,-0.03150741000000001
206,0.9000946358443208,986,0.09471841999999997
207,0.1828139539363994,677,0.017849630000000005
208,0.7179857901837327,105,-0.13836724
209,1.0810585988603956,318,0.17010899999999995
210,1.4730406652016648,141,-0.01921396999999997
211,0.0711258277373166,764,0.031935800000000014
212,0.4987241961367524,672,0.015513270000000023
213,0.7398199288617457,515,-0.13402249999999993
214,0.540858697691919,130,-0.007970940000000093
215,0.5082506801264511,1048,0.10997267999999993
216,0.051991680053253816,755,0.07948142000000002
217,0.2743046350775,482,-0.06084221999999995
218,0.20073457191834215,546,-0.08383289999999999
219,1.4768078878853184,480,-0.12223435000000005
220,0.6448345118100084,221,-0.04925452999999996
221,0.6448345118100084,220,0.04925452999999996
222,0.439437465438986,582,0.22116559000000002
223,0.4555294714986509,181,-0.15548932999999993
224,0.5941500512336945,258,0.009851069999999962
225,0.22075337874877604,714,-0.048762150000000004
226,0.31321554641013816,116,-0.17297955000000004
227,0.6030220718856396,326,0.009562230000000005
228,2.1810370934085457,930,-0.20485705999999998
229,1.9327488234887866,135,-0.18939677000000005
230,0.0885771490101142,788,0.1391384
231,1.1358774181864855,651,0.05418833000000001
232,0.43226003516055067,568,0.061173849999999974
233,2.2121989044508497,268,-0.025288770000000016
234,0.56733922141872,236,-0.003716229999999987
235,0.04956013756932012,236,0.0001258199999999987
236,0.04956013756932012,235,-0.0001258199999999987
237,0.30434683600919904,569,0.037209259999999966
238,0.3160883772950236,127,-0.09944594000000007
239,0.35919552262693827,129,-0.09004136999999995
240,0.3855552491161283,577,0.04991215999999998
241,0.1550848534351451,243,0.0020608400000000082
242,0.7394125662909724,621,0.07254376000000001
243,0.1550848534351451,241,-0.0020608400000000082
244,0.9637634862061594,711,-0.028878689999999985
245,0.9176805906396236,249,-0.006426749999999981
246,0.7941250386847151,981,-0.01971567000000002
247,0.8004712227023586,579,0.028773119999999985
248,0.8739620037444487,803,0.13670251000000003
249,0.7862515744093371,803,0.14764682999999998
250,0.03152708107326177,471,-0.17592653999999996
251,0.21904169632743498,253,-0.005661260000000001
252,1.5991263967400755,1084,0.14007835000000002
253,0.21904169632743498,251,0.005661260000000001
254,0.290977732825039,331,-0.06161481000000002
255,0.6531917734547794,572,0.08831522999999997
256,0.7172992888815725,673,-0.09553790000000001
257,0.6891526494195608,759,-0.09787701999999998
258,0.4831210848244979,304,-0.013259819999999978
259,0.8166552114342751,978,0.0011217600000000272
260,1.4168504179263244,693,-0.05552100999999998
261,0.866314251805312,714,-0.019753399999999977
262,0.4466977561462803,565,0.06588516
263,0.9903097274918591,568,0.13049739
264,0.06234460388838799,265,-0.049609899999999985
265,0.06234460388838799,264,0.049609899999999985
266,1.1035588942342904,271,0.061675900000000006
267,0.3879775529692392,1036,-0.014753159999999987
268,0.8028314761905201,456,-0.21774559999999998
269,0.4308039587112092,611,0.02259907
270,0.49400639136225777,607,0.11124866
271,0.19314790376095223,310,-0.050378400000000045
272,1.8077973274330286,267,-0.016193630000000014
273,0.4266982301112113,991,-0.02925021
274,0.5356303013506611,269,-0.01434346999999997
